epoch,accuracy,loss,val_accuracy,val_loss
0,0.6830000281333923,0.7195991277694702,0.7887499928474426,0.4321451485157013
1,0.7645000219345093,0.5142685770988464,0.8274999856948853,0.36237210035324097
2,0.8165000081062317,0.41715699434280396,0.8374999761581421,0.35629069805145264
3,0.8370000123977661,0.3781234920024872,0.8349999785423279,0.3583817183971405
4,0.8485000133514404,0.33837974071502686,0.8500000238418579,0.3491157293319702
5,0.8759999871253967,0.3104579746723175,0.8374999761581421,0.3831506073474884
6,0.8740000128746033,0.30298611521720886,0.8287500143051147,0.455153226852417
7,0.9014999866485596,0.2575336694717407,0.8137500286102295,0.539961576461792
8,0.9089999794960022,0.22891438007354736,0.762499988079071,0.7787637114524841
9,0.9020000100135803,0.23122777044773102,0.8187500238418579,0.5085835456848145
